word,freq
SPEECH,1
CHIEF,13
EXECUTIVE,13
DELIVERING,1
POLICY,32
ADDRESS,22
LEGISLATIVE,6
COUNCIL,5
MR,3
PRESIDENT,2
HONOURABLE,2
MEMBERS,11
FELLOW,2
CITIZENS,4
TODAY,4
PRESENT,5
SECOND,2
TERM,17
OFFICE,7
LEGCO,6
YEAR,23
PREFER,1
SHARING,4
HONG,51
KONG,51
PEOPLE,21
GOVERNANCE,4
PHILOSOPHY,2
HIGHLIGHTING,1
SPECIFIC,2
MEASURES,11
READING,1
TITLED,1
STRIVING,2
AHEAD,4
REKINDLING,2
HOPE,8
RUNS,1
ROUGHLY,1
WORDS,2
COMPREHENSIVELY,1
COVERS,2
AREAS,6
GOOD,6
HOUSING,35
LAND,22
DIVERSIFIED,1
ECONOMY,10
NURTURING,2
TALENT,2
IMPROVING,4
LIVELIHOOD,8
LIVEABLE,1
CITY,3
CONNECTING,2
YOUNG,2
READ,1
BETTER,5
GRASP,1
CURRENT,14
SITUATION,1
GOVERNMENT,60
RESPONSES,1
VARIOUS,10
SOCIAL,3
ISSUES,6
BUILDING,5
SPECIAL,2
ADMINISTRATIVE,3
REGION,2
HKSAR,9
UNIQUE,1
STRENGTHS,3
COUNTRY,9
SYSTEMS,1
COMBINING,1
UNFLAGGING,1
EFFORTS,8
ASSUMING,2
JULY,1
CARRIES,1
UNSWERVING,1
DETERMINATION,4
LEADING,2
STRIVE,2
FORWARD,6
SERVE,2
JUST,4
PURPOSE,3
REFLECTS,1
EXPERIENCE,3
ASSUMED,2
PAST,3
POLITICAL,5
TEAM,3
TAKEN,1
PRAGMATIC,1
APPROACH,3
CARE,11
LISTEN,2
ACT,4
INNOVATIVE,1
INTERACTIVE,1
COLLABORATIVE,2
IMPLEMENTING,2
INITIATIVES,12
PROACTIVELY,3
ENHANCING,5
POSITION,1
FINANCIAL,5
CENTRE,2
INCLUDES,1
REVISION,3
LISTING,1
REGULATIONS,1
APPLICATION,3
TECHNOLOGIES,3
FINTECH,1
FORGING,2
DEVELOPMENT,27
INNOVATION,1
TECHNOLOGY,2
ESTABLISHMENT,1
CLUSTERS,1
HEALTHCARE,4
ARTIFICIAL,2
INTELLIGENCE,1
ROBOTICS,1
OUTCOMES,1
REMARKABLE,3
TESTIMONIES,1
BELIEF,2
RUNNING,1
OUTSTANDING,3
FOUNDATIONS,1
SOLID,1
LONG,6
STAND,3
UNITED,2
REMAIN,3
FOCUSED,1
DOUBT,1
SCALE,1
NEW,23
HEIGHTS,2
REALISATION,3
PERFECT,1
SOLUTION,1
WORLD,6
DIFFICULT,2
FORGE,2
ABSOLUTE,1
CONSENSUS,2
COMMUNITY,11
DIVERGENCE,1
VIEWS,5
OBSTACLE,1
MAKE,4
PROGRESS,2
IMPORTANTLY,1
BRING,3
STANDSTILL,1
SPENT,1
LOT,1
ROUNDS,1
PUBLIC,24
CONSULTATIONS,1
SUPPLY,11
OPTIONS,3
ABOLITION,3
OFFSETTING,4
ARRANGEMENT,5
MANDATORY,1
PROVIDENT,1
FUND,1
MPF,2
SCHEME,14
HIGH,2
TIME,4
DECIDE,1
PROCEED,1
DISCUSSIONS,2
PROCRASTINATION,1
GREATER,8
SUFFERINGS,1
FAMILIES,3
LIVING,2
POOR,1
OVERCROWDED,1
ENVIRONMENT,9
PARTICULAR,2
CHILDREN,4
GRASS,1
ROOTS,1
WORKERS,1
NEED,4
RETIREMENT,1
PROTECTION,2
COMPANIONS,2
INCLUSIVE,2
HARBOUR,4
UNREALISTIC,1
WISH,1
PARTIES,3
SHARE,2
STANCE,1
PRINCIPLE,3
COMPROMISED,1
PLENTY,1
ROOM,1
COLLABORATION,1
CASE,1
POINT,1
VISIT,1
CROSS,2
PARTY,1
DELEGATION,1
MAINLAND,2
CITIES,3
GUANGDONG,1
MACAO,2
BAY,6
AREA,9
ARRANGED,1
EARLY,1
EXAMPLE,3
DEALING,1
SIMPLE,1
ONES,1
ADOPTED,2
PRESENTING,1
FUNDING,2
ITEMS,1
CONSULTATION,1
LEGISLATORS,1
DIFFERENT,4
END,6
SESSION,3
HELPED,1
REDUCE,2
CONFRONTATION,1
CONTRIBUTED,1
SMOOTH,1
PASSAGE,3
BENEFIT,2
SWIFTLY,2
BOLDLY,1
MATTERS,1
CLEARLY,2
PROPOSE,6
TOTAL,6
BAN,1
ELECTRONIC,2
CIGARETTES,1
PROTECTING,1
HEALTH,2
PARTICULARLY,2
TEENAGERS,1
ACTIVELY,2
PROMOTE,3
PRIMARY,3
SERVICES,6
CHANGE,2
TREATMENT,1
ORIENTED,1
PROVIDE,6
RESOURCES,13
RESEARCH,3
ENHANCE,9
CAPABILITY,1
SUPPORTING,2
INTERNATIONAL,6
BIG,1
STRIDES,1
CLEAR,1
OBJECTIVES,2
REALISATIONS,1
ADDED,1
PERSONAL,1
TOUCH,1
FACT,2
PARTS,1
REFLECT,2
PRESENTED,2
SECTORS,7
THANK,3
COLLEAGUES,1
RANKS,1
CIVIL,2
SERVICE,5
EXEMPLARY,1
DEDICATION,1
PROGRESSIVE,1
ATTITUDE,1
SEEKING,1
EMBRACING,1
ADVOCATED,2
STYLE,1
PLAYING,1
ROLES,2
FACILITATOR,2
PROMOTER,2
RECEIVED,4
WIDE,3
RECOGNITION,2
BUREAUX,2
DEPARTMENTS,2
PROACTIVE,1
HANDLING,2
ECONOMIC,13
REFLECTED,1
AGENDA,1
ASK,1
PROACTIVENESS,1
DEVIATE,2
MARKET,3
UPHELD,2
ANSWER,5
COMPETITIVENESS,3
LIKE,3
BOAT,1
SAILING,1
ORDER,6
DRIVEN,1
RESPONSIBILITY,5
SUPPORT,14
EXPLORE,2
BUSINESS,3
OPPORTUNITIES,5
ENTERPRISES,4
LOCALLY,1
OVERSEAS,2
ENGAGE,1
INTERACTIONS,1
INTRODUCED,3
FISCAL,3
TAX,1
CONCESSIONS,1
ALLOCATE,3
ALLEVIATE,2
BURDENS,2
NURTURE,1
SECRETARY,3
BUDGET,3
BROAD,1
RANGE,1
BENEFITS,4
EARMARKED,4
BILLION,10
INVESTMENT,3
FUTURE,5
QUESTION,5
ALLOCATING,1
ROBUSTLY,1
IMPROVE,7
PRINCIPLES,1
PRUDENCE,1
KEEPING,1
EXPENDITURE,3
LIMITS,1
REVENUES,1
EMBARKING,1
ROAD,2
WELFARE,2
SOCIETY,10
AMPLE,1
RESERVES,1
USE,3
DERIVED,1
INVEST,2
RELIEVE,1
ENABLE,3
WALKS,2
LIFE,5
FRUITS,2
GROWTH,3
RULE,3
LAW,9
IMPORTANT,4
CORE,1
VALUE,2
INDEPENDENCE,3
JUDICIARY,3
KEY,2
EMBODYING,1
LET,2
REITERATE,1
BEHAVIOUR,1
ARISING,1
DISAPPOINTMENT,1
CERTAIN,2
COURT,2
VERDICTS,1
INCLUDING,5
UNREASONABLE,1
ATTACKS,1
JUDICIAL,3
INTERFERENCE,1
POWER,1
VERBAL,1
INSULTS,1
JUDGES,2
TOTALLY,1
UNACCEPTABLE,1
DETRIMENTAL,1
SPIRIT,2
JURISDICTION,1
JUSTICE,1
FINAL,1
APPEAL,1
GEOFFREY,1
MA,1
TAO,1
LI,1
POINTED,1
CEREMONIAL,1
OPENING,2
LEGAL,2
CRITICISMS,1
LEVELLED,1
INFORMED,1
BASIS,2
COURTS,1
CONCERNED,2
ARISE,1
DISPUTES,1
DETERMINED,2
RELEVANT,4
CONSTITUTIONAL,3
DUTY,1
ADJUDICATE,1
REFERENCE,2
REMAINS,1
STRONG,2
RESPECTED,1
VISIBLE,1
RESPECTS,1
FUNCTIONS,1
EXERCISE,1
CHECKS,1
BALANCES,1
AUTHORITIES,1
PROPOSAL,1
COMMITTEE,1
RULES,1
PROCEDURE,1
ATTENDING,1
MONTHLY,3
QUESTIONS,2
SHORT,5
FORMAT,1
ADDITION,3
HELD,2
TIMES,4
ATTENDED,2
SESSIONS,2
SEVEN,1
RESPONDED,1
STRENGTHEN,5
ACCOUNTABILITY,1
INTERACTION,1
ALLOWS,1
FEEL,1
PULSES,1
PROMPTLY,1
RESPOND,4
CONCERN,2
LIFT,1
MODERNISATION,1
SUBSIDY,5
PROPOSED,3
ALLOCATION,2
ASSIST,2
REPAIR,1
LIFTS,1
OLDER,1
BUILDINGS,5
RESPONSE,1
SUGGESTIONS,1
MEETING,1
DEMAND,1
GREATEST,2
CHALLENGE,1
TREATED,1
CHAPTER,1
PLACED,1
CHAPTERS,1
DEMONSTRATE,2
SHORTAGE,2
DIRECTLY,2
LEADS,1
AFFECTS,1
QUALITY,6
CHILD,5
CENTRES,2
ELDERLY,3
FACILITIES,7
BASIC,4
EDUCATION,10
LEISURE,2
OPEN,1
SPACE,1
CULTURAL,3
RECREATIONAL,1
MAINTAINING,1
ADVANTAGES,1
TRADITIONAL,1
TRADES,1
PROMOTING,3
INDUSTRIES,2
STRICTLY,1
NECESSARY,2
IMPROVEMENT,2
TRANSPORT,9
INFRASTRUCTURE,3
HINGE,1
STRATEGIES,2
PLANS,2
TALK,1
STATED,3
OCTOBER,1
COMPRISES,1
ELEMENTS,1
INCLUDE,5
ESTABLISHING,1
ROLE,2
PROVISION,5
LADDER,2
FOCUSING,2
OPTIMISING,1
EXISTING,3
CONDITIONS,4
ANNOUNCED,3
JUNE,1
PRICING,4
SUBSIDISED,2
SALE,3
FLATS,5
SSFS,7
EFFECT,2
SELLING,2
PRICES,5
LONGER,1
LINKED,1
PRIVATE,5
INSTEAD,1
PRIMARILY,1
AFFORDABILITY,1
APPLICANTS,2
SITES,3
SOLVE,1
PROBLEM,4
FACED,1
DEVELOP,2
RESOLUTE,1
PERSISTENT,1
MANNER,2
IDENTIFY,1
PRODUCE,1
BUILD,2
RESERVE,1
WAVER,1
FACE,2
CHANGES,2
FLUCTUATIONS,1
PROPERTY,1
DECENT,1
INCOME,3
BRACKETS,1
INCREASE,5
RATIO,3
BUREAU,1
CONSIDERATION,2
UPDATING,1
TARGET,4
STRATEGY,1
UNDERTAKE,1
UNITS,5
NEWLY,1
DEVELOPED,1
EXPECT,1
ATTRACT,1
LARGE,2
NUMBER,4
APPLICATIONS,1
FOLLOWING,3
AUTHORITY,3
HKHA,4
OPENED,1
HOME,5
OWNERSHIP,2
HOS,1
PROJECT,4
REGULARISED,1
GREEN,2
FORM,1
GSH,1
STARTER,1
HOMES,1
SH,1
PILOT,4
URBAN,1
RENEWAL,1
URA,2
LAUNCHED,1
SUBSEQUENTLY,1
PROJECTS,2
CONDUCTED,3
TESTS,1
BATCHES,2
ADJUSTED,2
LOAN,1
LTV,1
SSF,2
AFFORDABLE,1
HOUSEHOLDS,2
PAYMENT,2
GENERALLY,1
EXCEED,1
HOUSEHOLD,1
REBUILT,1
MECHANISM,2
ISSUE,2
URGENTLY,1
DEAL,2
TASK,7
FORCE,9
SET,5
SEPTEMBER,2
SHOULDERED,1
DELIBERATION,1
ATTEMPT,1
COMMITMENT,3
HARD,1
WORK,6
HIGHLY,3
RESPECTABLE,1
HALF,2
MONTH,2
AGO,1
REQUEST,1
SHARED,2
PRELIMINARY,1
OBSERVATIONS,3
ATTENTION,1
CENTRED,1
RESPECT,1
INDIVIDUAL,2
ATTRACTED,1
GENERAL,1
BROADLY,2
AGREES,1
PRESSING,2
PREPARED,1
RAINY,1
DAYS,1
MULTI,1
PRONGED,1
LINE,1
LANTAU,8
TOMORROW,4
VISION,10
BROWNFIELD,2
REVITALISATION,2
INDUSTRIAL,3
REGARDS,1
ANALYSIS,1
DETAILED,1
RECOMMENDATIONS,2
REPORT,2
SUBMITTED,1
LARGEST,1
OUTLYING,1
ISLAND,1
AIRPORT,1
GATEWAY,2
COMMISSIONING,1
ZHUHAI,1
BRIDGE,1
CONNECTIVITY,1
IMPROVED,1
MAKING,1
DOUBLE,1
ISLANDS,1
HECTARES,1
NEAR,1
KAU,1
YI,1
CHAU,2
HEI,1
LING,1
CENTRAL,2
WATERS,1
NORTH,1
COASTAL,1
TUEN,1
MUN,1
RIVER,1
TRADE,4
TERMINAL,1
PLANNING,4
LUNG,1
KWU,1
TAN,1
SUPPORTED,1
NETWORKS,1
AIMS,1
INSTIL,1
MEET,3
CAREER,1
ASPIRATIONS,4
PROVIDING,4
RESIDENTIAL,1
ACCOMMODATING,1
CREATING,1
JOBS,1
COMING,2
YEARS,9
REALISED,1
DIRECTIONS,1
INCREASING,4
ACCORDING,3
PRIORITY,3
ENVIRONMENTAL,2
CAPACITY,1
ENTERTAINMENT,1
ACHIEVE,2
INVOLVES,1
OVERALL,2
IMPLEMENTATION,3
MAJOR,2
DECADES,1
REQUIRES,2
NON,3
GOVERNMENTAL,1
ORGANISATIONS,3
NGOS,1
ENTAILS,1
METICULOUS,1
ORDINATION,2
SOON,1
POSSIBLE,1
DEDICATED,1
ACCOUNTABLE,1
STEER,1
DIRECTION,1
ORDINATE,1
MONITOR,3
PROGRAMME,1
EXPANDED,1
NEEDED,2
ENSURE,1
EFFECTIVELY,2
MATCHED,1
SPEED,2
STUDIES,1
TERRITORIES,1
ARRANGEMENTS,2
REPROVISIONING,1
OPERATIONS,2
FACILITATE,3
INTRODUCING,1
COVERED,1
PLANNED,1
UTILISED,1
FAIR,1
TRANSPARENT,1
NEEDS,2
MEDIUM,2
DISPEL,1
WORRIES,1
FLOOR,1
USED,1
MAINLY,2
REACTIVATE,1
IMMINENT,1
ALLOW,2
WHOLESALE,1
CONVERSION,1
TRANSITIONAL,1
FURTHERMORE,2
HKHS,3
REDEVELOP,1
AGED,3
RENTAL,1
ESTATES,1
INVITE,1
LAUNCH,1
REDEVELOPMENT,2
SERVANTS,1
OPERATIVE,1
SETTLERS,1
CORPORATION,1
LIMITED,2
TAKING,4
TAI,1
HANG,1
SAI,1
ESTATE,1
DOING,1
OWNERS,4
RESIDENTS,1
EFFICIENT,1
LIGHT,1
OPERATIONAL,1
JOIN,1
PREMIUM,3
UNPAID,1
SUBLET,1
NEEDY,1
INTRODUCE,3
INITIATIVE,5
OCCUPATION,1
FAMILY,3
ALLOWED,1
ENJOY,1
LIFETIME,1
RENT,1
EXEMPTION,1
TRANSFER,1
SMALL,2
REFURBISHED,1
ACCEPT,1
RECOMMENDATION,1
FLAT,3
PAID,1
OWNED,1
SELL,1
ORIGINAL,1
BUY,1
SMALLER,1
SECONDARY,3
ADEQUATE,1
MANPOWER,2
UNEMPLOYMENT,1
RATE,2
LOWEST,1
EMPLOYERS,3
EXPRESSED,1
DIFFICULTIES,1
STAFF,1
RECRUITMENT,1
LABOUR,8
ASSET,1
MAINTAIN,1
EMPLOYEES,8
PRODUCTIVITY,1
SERIES,4
RELATED,1
VIEW,2
FOSTERING,2
RELATIONS,1
CONCERNS,1
BELEAGUERED,1
WAGE,1
EARNERS,1
HAVING,2
CAREFULLY,3
CONSIDERED,1
DECIDED,1
EXTEND,3
PERIOD,2
TIER,2
ENTIRE,1
SIGNIFICANTLY,1
INCREASED,2
BELIEVE,6
IMPACT,1
ABOLISHING,1
MICRO,1
SIZED,1
SECURE,1
ENABLING,2
LEGISLATION,2
IMPLEMENT,3
AMENDMENTS,1
RIGHTS,1
INJURED,1
LOOKING,2
RECOVERY,1
EFFECTIVENESS,1
OCCUPATIONAL,1
SAFETY,1
SERIOUSLY,1
DEPARTMENT,4
CONDUCT,1
DEPTH,1
SURPRISE,1
INSPECTIONS,1
PLACE,1
GUIDELINES,1
ONLINE,1
PLATFORM,1
UNSAFE,1
WORKING,3
MOBILE,1
DEVICES,1
PROMPT,1
FOLLOW,1
CONTRACTORS,2
SOURCE,1
HUMAN,1
EMPLOYMENT,3
TERMS,3
HELP,2
INTER,1
DEPARTMENTAL,1
GROUP,1
COMPLETED,1
REVIEW,2
SKILLED,1
ENGAGED,1
CONTRACTS,1
TENDERED,1
APRIL,1
GREW,1
STRONGLY,1
REAL,1
PREVIOUS,1
RIDING,1
POSITIVE,1
GLOBAL,2
INITIAL,2
OFFERING,1
IPO,2
ACTIVITIES,2
GAINING,1
MOMENTUM,1
FUNDS,1
RAISED,1
REACHED,2
HIGHEST,1
COUNTERPARTS,1
FAR,2
LATEST,1
ANNUAL,1
SURVEY,1
JOINTLY,1
CENSUS,1
STATISTICS,1
PARENT,1
COMPANIES,2
SITUATED,2
REGIONAL,1
HEADQUARTERS,1
REPRESENTING,1
COMPARED,1
UNCERTAINTIES,1
MARKEDLY,1
FRICTION,1
CHINA,1
STATES,1
ESCALATING,1
MARKETS,1
AFFECTED,2
CLOSELY,1
SUITABLY,1
COMMERCE,1
MET,2
ASSOCIATIONS,1
HOST,1
SERVING,1
SEIZE,2
BROUGHT,1
BELT,1
GENERATING,1
IMPETUS,2
MARITIME,1
INDUSTRY,3
INSURANCE,1
FILM,1
CHINESE,2
MEDICINE,2
SECTOR,4
CONDUCIVE,1
STEP,1
ADDITIONAL,5
UNIVERSITY,2
INDUSTRIALISATION,1
WARRANTS,1
DEVOTION,1
SCHOOL,4
EXPENDED,2
RECURRENT,4
ACCORDANCE,1
STABLE,1
CARING,1
TEACHING,2
LEARNING,2
GRADUALLY,1
SHAPE,1
ACCOUNT,1
PROFESSIONAL,2
LED,1
FORCES,1
ANNOUNCE,1
INVOLVING,1
TEACHERS,1
PRINCIPALS,1
PARENTS,1
SCHOOLS,4
GRANT,1
GRADUATE,1
EARMARKING,1
MIDDLE,1
MANAGEMENT,1
LEVEL,1
STRENGTHENING,1
OPERATION,1
VOCATIONAL,1
TRAINING,3
SUBSIDIES,1
STUDENTS,2
PURSUE,1
POST,1
EDUCATIONAL,1
EXCEEDED,1
EARLIER,1
GIVEN,1
HAGGLE,1
TRIM,1
RESOURCE,1
CONSTRAINTS,1
LOOK,1
HAND,2
GENERATIONS,1
PATIENT,1
POVERTY,1
ALLEVIATION,1
ESSENTIAL,1
COMPASSIONATE,1
PROPOSES,1
ETHNIC,1
MINORITIES,1
YOUTH,2
COMMISSION,1
MILLION,1
RESPECTIVELY,1
PASSENGER,1
TRIPS,1
MEANS,1
TESTED,1
FARE,2
WAIVING,1
TOLLS,3
CHARGED,1
FRANCHISED,2
BUSES,2
USING,2
TUNNELS,2
ROADS,1
EASE,1
PRESSURE,2
ALLEVIATING,1
BURDEN,1
EXPENSES,1
AGREEMENT,1
FRANCHISEE,2
WESTERN,1
CROSSING,1
WHC,3
PAY,3
ADJUSTMENT,1
TUNNEL,1
CARS,1
TAXIS,1
MOTORCYCLES,1
DISTRIBUTION,1
TRAFFIC,3
CONGESTION,2
REDUCING,1
HELPS,1
ROADSIDE,2
AIR,2
POLLUTANT,1
LEVELS,1
SUCCESSFUL,1
PHASING,1
PRE,1
EURO,2
IV,2
DIESEL,2
COMMERCIAL,2
VEHICLES,2
PROGRESSIVELY,1
PHASE,1
ENCOURAGE,2
METROPOLIS,1
GROUNDED,1
TRADITIONS,1
ENRICHED,1
CULTURES,1
RECENT,2
MUSEUMS,3
FLOURISHING,1
WEST,1
KOWLOON,1
DISTRICT,1
BOAST,1
CLASS,1
PALACE,1
MUSEUM,3
ART,2
DONATIONS,1
PRECIOUS,1
PAINTINGS,1
CALLIGRAPHY,1
CHIH,1
LO,1
LOU,1
WU,1
GUANZHONG,1
TREASURES,1
DISPLAYED,1
PERMANENT,1
EXHIBITS,1
DISTINCT,1
IDENTITIES,1
NOVEL,1
LANDMARKS,1
CULTURE,1
ARTS,1
TOURISM,1
WATERFRONT,1
VICTORIA,1
ASIAN,1
GAMES,2
INDONESIA,1
AUGUST,1
ATHLETES,5
IMPRESSED,1
ACHIEVEMENTS,1
GONE,1
TOUGH,1
DEMONSTRATED,1
PERSEVERANCE,1
SPORTSMANSHIP,1
TAKES,1
PRIDE,1
PERFORMANCE,1
COACHES,1
SPORTS,6
PROFESSIONALS,1
SCIENCE,1
WAYS,2
INSTITUTE,1
CONTINUE,5
ELITE,1
SCALING,1
TOKYO,1
OLYMPICS,1
COMPETITIONS,1
GOVERNING,1
COMPLEX,1
SITUATIONS,1
CONFLICTS,1
EMERGED,1
TOLERATE,1
ACTS,4
ADVOCATE,1
THREATENS,1
SOVEREIGNTY,1
SECURITY,5
INTERESTS,2
FEARLESSLY,1
ACTIONS,2
SAFEGUARD,2
NIP,1
BUD,1
REINFORCED,1
UNDERSTANDING,1
CONSTITUTION,2
NATIONAL,3
FOSTERED,1
AWARENESS,1
LEGISLATE,1
ARTICLE,2
PUBLICLY,1
CONSIDER,1
FACTORS,1
PRUDENTLY,1
CREATE,1
FAVOURABLE,1
DOES,1
SUGGEST,1
TURN,1
BLIND,1
EYE,1
VIOLATING,1
ATTEMPTING,1
SECEDE,1
ENDANGERING,1
LAWS,1
ASIDE,1
APPLIED,1
PROHIBITED,1
TOOK,1
APPLYING,1
SOCIETIES,1
ORDINANCE,1
BEARS,1
TESTIMONY,1
AROUSED,1
EXTENSIVE,1
INTENSE,1
DISCUSSION,1
EARNESTLY,1
POSITIVELY,1
REQUIREMENT,2
TAXING,1
EASY,1
COMPOSED,1
RESILIENT,1
INTERNAL,1
EXTERNAL,1
UNITE,1
HAPPY,1
DRIVING,1
FEMALE,4
EXTRA,1
DEVOTE,1
WOMEN,6
RECEIVE,1
HIGHER,1
MEN,1
NOWADAYS,1
PARTICIPATION,1
LOWER,1
MALE,1
MANAGERIAL,1
RELATIVELY,1
LOW,1
REGARD,1
STATUTORY,4
MATERNITY,4
LEAVE,4
WEEKS,5
MOTHERS,1
SPEND,1
NEWBORN,1
BABIES,1
APPLY,1
REIMBURSEMENT,1
CAPPED,1
SAY,1
BORNE,1
EMPLOYER,1
IMMEDIATE,1
OFFICERS,1
ACTUAL,1
EXPECTED,1
DATE,1
CONFINEMENT,1
FALLS,1
PROVIDED,2
BASED,1
CARERS,1
NEIGHBOURHOOD,1
STAY,1
BABYCARE,1
LACTATION,1
ROOMS,1
DEVELOPERS,1
BREASTFEEDING,1
PREMISES,1
FREE,1
CERVICAL,2
CANCER,4
VACCINATION,1
GIRLS,1
AGE,1
GROUPS,1
PREVENTION,2
COMPLETION,1
STUDY,1
LOCAL,2
RISK,1
BREAST,2
UNFORTUNATE,1
SUFFERED,1
MISCARRIAGE,1
FOOD,1
HYGIENE,1
HOSPITAL,1
IMPLEMENTED,1
ABORTUSES,1
EXAMINING,1
PROPOSALS,1
HOLISTIC,1
PROPORTION,1
BODIES,1
ADVISORY,1
COMMITTEES,1
PERCENTAGE,1
EXCHANGES,1
CLEARING,1
CHAIRLADY,1
MRS,1
LAURA,1
CHA,1
LISTED,1
APPOINT,1
FEMALES,1
BOARD,1
INAUGURAL,1
CEREMONY,1
FIFTH,1
SAID,1
PROPELS,1
CONFIDENCE,1
FOUNDATION,1
NEARLY,1
OUTBOUND,1
VISITS,1
CALLED,1
MINISTRIES,1
COMMISSIONS,1
BEIJING,1
LEADERS,1
PROVINCIAL,1
MUNICIPAL,1
AUTONOMOUS,1
GOVERNMENTS,1
VISITING,1
SENIOR,1
OFFICIALS,1
COUNTLESS,1
GATHERINGS,1
ACADEMIA,1
LISTENING,1
ATTENTIVELY,1
OBSERVING,1
COME,1
CONCLUSION,1
INTRINSIC,1
ALIVE,1
REGARDED,1
ENVIED,1
MYSELF,1
CAPABLE,1
LEVERAGE,1
EXPLORING,1
STAUNCH,1
RISE,1
CHALLENGES,1
INJECT,1
HOLDING,1
BELIEFS,1
BELIEVING,3
CERTAINLY,1
REKINDLE,1
